customer_id,display_name,structure,is_company,jurisdiction,pep_level,cash_intensive_business,primary_matter_type,designated_service,delivery_channel,occupation,declared_annual_income_aud,onboarded_date,customer_type_score,jurisdiction_score,service_score,channel_score
CUST-10053,Smith Ltd,Pty Ltd Company - simple,True,United States,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Real Estate Agent,118000.0,2026-01-18,0,0,0,0
CUST-10054,"Brown, Jones and Johnson",Pty Ltd Company - multi-layer ownership,True,Singapore,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,IT Consultant,106000.0,2025-07-03,1,0,0,0
CUST-10055,Jones-Young,Discretionary Trust,True,United States,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Retail Manager,56000.0,2025-10-14,0,0,2,0
CUST-10056,"Washington, Ryan and Cummings",Foreign-incorporated entity,True,Singapore,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Face-to-face,Real Estate Agent,126000.0,2026-04-22,1,0,1,0
CUST-10057,Laura Sanchez,Individual,False,United Kingdom,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Remote (video/email only),Import/Export Trader,593000.0,2025-10-24,0,0,0,1
CUST-10058,Jason Davis,Individual,False,Canada,Domestic PEP (low profile),False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Retail Manager,80000.0,2026-04-16,1,0,0,0
CUST-10059,"Jordan, Henderson and Owens",Discretionary Trust,True,United Arab Emirates,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Import/Export Trader,578000.0,2026-06-18,0,1,2,0
CUST-10060,"Brown, Valdez and Lucas",Family Trust,True,Australia,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Tradesperson,83000.0,2024-11-28,0,0,0,0
CUST-10061,Nicholas Mcbride,Individual,False,Japan,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Engineer,215000.0,2026-05-14,0,0,0,0
CUST-10062,Corey Herrera,Individual,False,Canada,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Public Servant,68000.0,2024-12-23,0,0,1,0
CUST-10063,Henderson LLC,Discretionary Trust,True,United States,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Retail Manager,84000.0,2024-10-15,0,0,2,0
CUST-10064,Shannon Jones,Individual,False,United States,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Retail Manager,75000.0,2025-01-18,0,0,1,0
CUST-10065,"Garcia, Pearson and Fernandez",Pty Ltd Company - simple,True,Germany,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Small Business Owner,170000.0,2025-06-07,0,0,0,0
CUST-10066,Novak and Sons,Pty Ltd Company - multi-layer ownership,True,Australia,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Via intermediary/referrer,Real Estate Agent,167000.0,2026-02-25,1,0,0,1
CUST-10067,Russell Group,Discretionary Trust,True,Germany,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Remote (video/email only),Small Business Owner,154000.0,2025-09-29,0,0,0,1
CUST-10068,James Brown,Individual,False,Singapore,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Remote (video/email only),Accountant,106000.0,2025-12-08,0,0,0,1
CUST-10069,Smith-Myers,Pty Ltd Company - multi-layer ownership,True,Cambodia,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Accountant,102000.0,2025-03-11,1,1,0,1
CUST-10070,Mitchell-Horton,Pty Ltd Company - multi-layer ownership,True,Germany,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,Retail Manager,67000.0,2025-04-14,1,0,1,0
CUST-10071,Rachel Stanley,Individual,False,Yemen,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Small Business Owner,123000.0,2026-04-29,0,2,0,0
CUST-10072,Moore-Phillips,Discretionary Trust,True,United Kingdom,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Remote (video/email only),Public Servant,94000.0,2025-02-05,1,0,2,1
CUST-10073,Lauren Daniels,Individual,False,United Kingdom,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Real Estate Agent,198000.0,2025-11-07,0,0,0,0
CUST-10074,"Edwards, Williams and Woods",Pty Ltd Company - simple,True,Germany,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Engineer,142000.0,2025-09-28,0,0,2,0
CUST-10075,Kim Brown,Individual,False,United States,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Accountant,143000.0,2024-10-13,0,0,0,0
CUST-10076,Sarah Jones,Individual,False,Australia,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Remote (video/email only),Property Developer,258000.0,2025-05-13,0,0,1,1
CUST-10077,Scott Powell,Individual,False,Japan,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Face-to-face,Import/Export Trader,457000.0,2025-07-12,0,0,0,0
CUST-10078,Laura Riley,Individual,False,Japan,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Remote (video/email only),Teacher,57000.0,2024-09-22,0,0,2,1
CUST-10079,Harvey Group,Pty Ltd Company - simple,True,New Zealand,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Face-to-face,Small Business Owner,101000.0,2026-06-27,0,0,0,0
CUST-10080,"Silva, Mills and Donovan",Pty Ltd Company - simple,True,Japan,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Public Servant,76000.0,2025-12-20,0,0,1,0
CUST-10081,Santiago LLC,Discretionary Trust,True,United Kingdom,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Public Servant,90000.0,2026-03-15,0,0,2,0
CUST-10082,James Powers,Individual,False,Singapore,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Remote (video/email only),Real Estate Agent,120000.0,2025-07-26,0,0,0,1
CUST-10083,Bryant-Hickman,Discretionary Trust,True,Cambodia,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Accountant,129000.0,2024-09-20,0,1,0,0
CUST-10084,Alexandra Howell,Individual,False,Germany,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,Administrator,55000.0,2025-12-10,0,0,1,0
CUST-10085,Ariel Medina,Individual,False,Australia,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Remote (video/email only),Retail Manager,61000.0,2025-06-24,0,0,1,1
CUST-10086,Brandi Bailey,Individual,False,Singapore,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Accountant,216000.0,2025-10-25,0,0,1,0
CUST-10087,Suarez LLC,Pty Ltd Company - multi-layer ownership,True,Germany,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Remote (video/email only),Accountant,216000.0,2025-01-30,1,0,1,1
CUST-10088,Moore-Bass,Pty Ltd Company - multi-layer ownership,True,Cambodia,Domestic PEP (low profile),False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Real Estate Agent,168000.0,2024-11-08,1,1,2,0
CUST-10089,"Turner, Riggs and Roman",Pty Ltd Company - multi-layer ownership,True,Cyprus,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Small Business Owner,174000.0,2025-05-05,1,1,2,0
CUST-10090,"Smith, Montoya and Evans",Pty Ltd Company - simple,True,New Zealand,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Via intermediary/referrer,Nurse,89000.0,2026-04-07,0,0,0,1
CUST-10091,"Garcia, Humphrey and Baker",Family Trust,True,Japan,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Remote (video/email only),Engineer,146000.0,2026-07-21,0,0,0,1
CUST-10092,Newton and Sons,Pty Ltd Company - multi-layer ownership,True,Germany,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Via intermediary/referrer,Administrator,63000.0,2025-07-12,1,0,0,1
CUST-10093,Campbell-Clark,Pty Ltd Company - simple,True,New Zealand,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Engineer,216000.0,2026-07-03,0,0,0,1
CUST-10094,Harris-Walters,Pty Ltd Company - multi-layer ownership,True,United Kingdom,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Nurse,61000.0,2026-03-25,1,0,2,0
CUST-10095,Wagner-King,Foreign-incorporated entity,True,Democratic People's Republic of Korea,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Investment Manager,226000.0,2025-12-23,1,2,1,0
CUST-10096,Davis Group,Foreign-incorporated entity,True,United Kingdom,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Accountant,151000.0,2025-08-18,1,0,0,0
CUST-10097,Williams-Cook,Unit Trust,True,Germany,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Import/Export Trader,394000.0,2026-06-22,0,0,0,1
CUST-10098,Walsh LLC,Discretionary Trust,True,Japan,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Tradesperson,52000.0,2024-11-22,1,0,2,0
CUST-10099,Figueroa PLC,Foreign-incorporated entity,True,Singapore,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Small Business Owner,194000.0,2026-04-28,1,0,0,0
CUST-10100,"Patterson, Smith and Jones",Unit Trust,True,United States,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Accountant,186000.0,2025-10-07,0,0,0,0
CUST-10101,"Mckee, Gardner and Davenport",Pty Ltd Company - multi-layer ownership,True,United Kingdom,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Teacher,82000.0,2024-12-31,1,0,0,1
CUST-10102,"Tran, Jordan and Williams",Unit Trust,True,New Zealand,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Remote (video/email only),Real Estate Agent,170000.0,2025-01-09,0,0,0,1
CUST-10103,Nolan-Flynn,Unit Trust,True,Germany,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Engineer,123000.0,2025-01-26,0,0,2,0
CUST-10104,Nolan and Sons,Foreign-incorporated entity,True,Australia,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Retail Manager,91000.0,2025-08-29,1,0,0,0
CUST-10105,Mary Gomez,Individual,False,United Kingdom,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Remote (video/email only),Company Director,504000.0,2026-01-15,0,0,1,1
CUST-10106,"Henson, Russell and Oliver",Family Trust,True,Singapore,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Remote (video/email only),Small Business Owner,205000.0,2024-11-29,1,0,1,1
CUST-10107,Timothy Hancock,Individual,False,Canada,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Tradesperson,51000.0,2025-06-09,0,0,2,0
CUST-10108,Rita Keith,Individual,False,Germany,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,Small Business Owner,121000.0,2026-01-19,0,0,1,0
CUST-10109,Norman Cook,Individual,False,Canada,Not a PEP,True,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Administrator,57000.0,2025-01-28,2,0,0,0
CUST-10110,Pham-Shields,Pty Ltd Company - multi-layer ownership,True,United Arab Emirates,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Engineer,146000.0,2024-11-06,1,1,0,1
CUST-10111,Adams Ltd,Foreign-incorporated entity,True,Japan,Domestic PEP (low profile),False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Remote (video/email only),Company Director,386000.0,2025-03-05,1,0,2,1
CUST-10112,Shane Garrison,Individual,False,Canada,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Engineer,159000.0,2025-08-31,0,0,1,0
CUST-10113,Gonzalez Group,Pty Ltd Company - multi-layer ownership,True,United Kingdom,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,Administrator,49000.0,2024-11-18,1,0,1,0
CUST-10114,Torres-Pope,Discretionary Trust,True,Iran,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Remote (video/email only),IT Consultant,150000.0,2025-08-28,0,2,1,1
CUST-10115,Walker Ltd,Unit Trust,True,Cambodia,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Company Director,454000.0,2025-05-07,0,1,0,0
CUST-10116,Ross LLC,Foreign-incorporated entity,True,Australia,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,IT Consultant,215000.0,2025-05-19,1,0,1,0
CUST-10117,Tracy Ramirez,Individual,False,Singapore,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Accountant,161000.0,2024-12-07,0,0,1,0
CUST-10118,Jennifer Zavala,Individual,False,Canada,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Small Business Owner,136000.0,2025-01-29,0,0,0,1
CUST-10119,"Rivera, Johnson and Wiley",Family Trust,True,United Kingdom,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Via intermediary/referrer,Administrator,80000.0,2025-01-28,1,0,1,1
CUST-10120,White-Estes,Family Trust,True,Singapore,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Engineer,140000.0,2026-02-20,0,0,2,0
CUST-10121,Brian Hamilton,Individual,False,Germany,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Small Business Owner,158000.0,2025-02-17,0,0,1,0
CUST-10122,"Hartman, Graham and Joyce",Unit Trust,True,Panama,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Administrator,84000.0,2026-03-07,0,1,0,0
CUST-10123,Cruz PLC,Discretionary Trust,True,Panama,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Accountant,124000.0,2025-04-30,1,1,2,0
CUST-10124,Andrew Graham,Individual,False,Germany,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Nurse,86000.0,2024-12-12,0,0,0,0
CUST-10125,Renee Mcdaniel,Pty Ltd Company - multi-layer ownership,False,Yemen,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Via intermediary/referrer,Engineer,201000.0,2026-03-26,1,2,2,1
CUST-10126,"Mclaughlin, Gonzalez and Reynolds",Family Trust,True,Cyprus,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Face-to-face,Retail Manager,57000.0,2025-08-05,0,1,0,0
CUST-10127,Tammie Hanson,Individual,False,Myanmar,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Public Servant,80000.0,2026-04-03,0,2,1,0
CUST-10128,"Charles, Cortez and Evans",Discretionary Trust,True,Australia,Not a PEP,True,Trust Establishment,Item 7 - Acting as trustee for a client entity,Remote (video/email only),Engineer,161000.0,2025-11-01,2,0,1,1
CUST-10129,Jason Powell,Individual,False,Australia,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Accountant,170000.0,2026-08-07,0,0,2,0
CUST-10130,Spencer-Lee,Unit Trust,True,United Kingdom,Not a PEP,True,Debt Financing Transaction,Item 4 - Assisting with debt financing,Face-to-face,Administrator,78000.0,2025-08-19,2,0,1,0
CUST-10131,Jamie Adkins,Individual,False,Australia,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Via intermediary/referrer,Teacher,63000.0,2026-06-15,0,0,0,1
